"OTU","Sample","Abundance","diet","site","subject_id","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Genus_plot"
"40544","SRR8146969",7.65246056039557e-05,"omnivore","Turin","VOV39","k__","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","Other"
"1649459","SRR8146973",7.35806924263073e-05,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella","Other"
"207244","SRR8146973",7.35806924263073e-05,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","Other"
"838","SRR8146963",7.11181551950542e-05,"vegan","Turin","VOV56","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","Other"
"158846","SRR8146974",7.0846895921974e-05,"vegan","Turin","VOV113","k__","p__Bacillota","c__Negativicutes","o__Selenomonadales","f__Selenomonadaceae","g__Megamonas","Other"
"872","SRR8146971",6.75385572799328e-05,"omnivore","Turin","VOV28","k__","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","Other"
"1912216","SRR8146976",6.64248310779643e-05,"omnivore","Turin","VOV70","k__","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","Other"
"1678","SRR8146963",6.60382869668361e-05,"vegan","Turin","VOV56","k__","p__Actinomycetota","c__Actinomycetes","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","g__Bifidobacterium"
"2733199","SRR8146963",6.60382869668361e-05,"vegan","Turin","VOV56","k__","p__Uroviricota","c__Caudoviricetes","o__Crassvirales","f__Suoliviridae","g__Oengusvirus","Other"
"1649453","SRR8146971",6.51264659485067e-05,"omnivore","Turin","VOV28","k__","p__Planctomycetota","c__Planctomycetia","o__Planctomycetales","f__Planctomycetaceae","g__Gimesia","Other"
"292632","SRR8146969",6.27894199827329e-05,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Subdoligranulum","Other"
"286","SRR8146969",6.08272506082725e-05,"omnivore","Turin","VOV39","k__","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","Other"
"1912216","SRR8146974",5.90390799349783e-05,"vegan","Turin","VOV113","k__","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","Other"
"1769710","SRR8146969",5.69029118593517e-05,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Sellimonas","Other"
"1582879","SRR8146969",5.49407424848913e-05,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Tissierellia","o__","f__","g__Ezakiella","Other"
"32207","SRR8146971",5.30660092913758e-05,"omnivore","Turin","VOV28","k__","p__Actinomycetota","c__Actinomycetes","o__Micrococcales","f__Micrococcaceae","g__Rothia","Other"
"1301","SRR8146976",5.16637575050833e-05,"omnivore","Turin","VOV70","k__","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","Other"
"1301","SRR8146974",5.11672026103145e-05,"vegan","Turin","VOV113","k__","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","Other"
"1980697","SRR8146971",5.06539179599496e-05,"omnivore","Turin","VOV28","k__","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Duodenibacillus","Other"
"29465","SRR8146971",5.06539179599496e-05,"omnivore","Turin","VOV28","k__","p__Bacillota","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","Other"
"2732968","SRR8146973",4.79874081041135e-05,"vegan","Turin","VOV114","k__","p__Uroviricota","c__Caudoviricetes","o__Crassvirales","f__Herelleviridae","g__Schiekvirus","Other"
